day,kosakata,hiragana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2
1,危[あぶ]ない,,BERBAHAYA,この道[みち]は危[あぶ]ないです。,JALAN INI BERBAHAYA。,危[あぶ]ない場所[ばしょ]に行[い]かないでください。,JANGAN PERGI KE TEMPAT YANG BERBAHAYA。
1,明[あか]るい,,TERANG; CERIA,この部屋[へや]は明[あか]るいです。,KAMAR INI TERANG。,明[あか]るい人[ひと]が好[す]きです。,SAYA MENYUKAI ORANG YANG CERIA。
1,飽[あ]きっぽい,,MUDAH BOSAN,私[わたし]は飽[あ]きっぽい性格[せいかく]です。,SAYA MEMILIKI SIFAT YANG MUDAH BOSAN。,彼[かれ]は飽[あ]きっぽいので、趣味[しゅみ]がよく変[か]わります。,"KARENA DIA MUDAH BOSAN, HOBINYA SERING BERUBAH。"
1,青[あお]白[じろ]い,,PUCAT,彼[かれ]の顔[かお]は青[あお]白[じろ]いです。,WAJAHNYA PUCAT。,彼女[かのじょ]は急[きゅう]に顔[かお]が青[あお]白[じろ]くなりました。,WAJAHNYA TIBA-TIBA MENJADI PUCAT。
1,荒[あら]い,,KASAR; BERGELOMBANG,今日[きょう]は海[うみ]の波[なみ]が荒[あら]いです。,HARI INI OMBAK DI LAUT BERGELOMBANG BESAR。,彼[かれ]は少[すこ]し言葉[ことば]が荒[あら]いです。,CARA BICARANYA SEDIKIT KASAR。
1,ありがたい,,BERSYUKUR; BERHARGA,手伝[てつだ]ってくれて、本当[ほんとう]にありがたいです。,SAYA SANGAT BERSYUKUR KARENA KAMU MEMBANTU。,先生[せんせい]の助[たす]けはありがたいです。,BANTUAN GURU SANGAT BERHARGA。
1,浅[あさ]い,,DANGKAL,この川[かわ]は浅[あさ]いです。,SUNGAI INI DANGKAL。,ここは水[みず]が浅[あさ]いので、安全[あんぜん]です。,"KARENA AIR DI SINI DANGKAL, TEMPAT INI AMAN。"
1,温[あたた]かい,,HANGAT,温[あたた]かいお茶[ちゃ]を飲[の]みます。,SAYA MINUM TEH HANGAT。,母[はは]が温[あたた]かい料理[りょうり]を作[つく]りました。,IBU MEMBUAT MASAKAN HANGAT。
1,暖[あたた]かい,,HANGAT,今日[きょう]は暖[あたた]かいです。,HARI INI HANGAT。,暖[あたた]かい春[はる]が好[す]きです。,SAYA MENYUKAI MUSIM SEMI YANG HANGAT。
1,熱[あつ]い,,PANAS,このスープは熱[あつ]いです。,SUP INI PANAS。,熱[あつ]いコーヒーを飲[の]みました。,SAYA MINUM KOPI PANAS。
1,暑[あつ]い,,PANAS,今日[きょう]はとても暑[あつ]いです。,HARI INI SANGAT PANAS。,暑[あつ]い日[ひ]は冷[つめ]たい水[みず]を飲[の]みます。,"PADA HARI YANG PANAS, SAYA MINUM AIR DINGIN。"
1,厚[あつ]い,,TEBAL,この本[ほん]は厚[あつ]いです。,BUKU INI TEBAL。,冬[ふゆ]は厚[あつ]い服[ふく]を着[き]ます。,"PADA MUSIM DINGIN, SAYA MEMAKAI PAKAIAN TEBAL。"
1,厚[あつ]かましい,,TIDAK TAHU MALU; TAK TAHU DIRI,彼[かれ]のお願[ねが]いは少[すこ]し厚[あつ]かましいです。,PERMINTAANNYA SEDIKIT TIDAK TAHU MALU。,厚[あつ]かましい人[ひと]になりたくありません。,SAYA TIDAK INGIN MENJADI ORANG YANG TIDAK TAHU MALU。
1,慌[あわただ]しい,,SIBUK; TERGESA-GESA,朝[あさ]はいつも慌[あわただ]しいです。,PAGI HARI SELALU SIBUK DAN TERGESA-GESA。,今週[こんしゅう]は慌[あわただ]しい毎日[まいにち]です。,MINGGU INI HARI-HARI SAYA SANGAT SIBUK。
1,怪[あや]しい,,MENCURIGAKAN; ANEH,あの人[ひと]は少[すこ]し怪[あや]しいです。,ORANG ITU SEDIKIT MENCURIGAKAN。,怪[あや]しいメールを開[ひら]かないでください。,JANGAN MEMBUKA EMAIL YANG MENCURIGAKAN。
1,ばかばかしい,,KONYOL; BODOH; MENGGELIKAN,そんなばかばかしい話[はなし]は信[しん]じません。,SAYA TIDAK PERCAYA CERITA KONYOL SEPERTI ITU。,ばかばかしいことで喧嘩[けんか]しないでください。,JANGAN BERTENGKAR KARENA HAL YANG KONYOL。
1,馬鹿[ばか]らしい,,KONYOL; BODOH; MENGGELIKAN,馬鹿[ばか]らしい質問[しつもん]をしました。,SAYA MENGAJUKAN PERTANYAAN YANG KONYOL。,そんな馬鹿[ばか]らしい話[はなし]は聞[き]きたくありません。,SAYA TIDAK INGIN MENDENGAR CERITA KONYOL SEPERTI ITU。
1,茶[ちゃ]色[いろ]い,,BERWARNA COKELAT,私[わたし]は茶[ちゃ]色[いろ]い靴[くつ]を持[も]っています。,SAYA MEMILIKI SEPATU BERWARNA COKELAT。,茶[ちゃ]色[いろ]い犬[いぬ]がいます。,ADA ANJING BERWARNA COKELAT。
1,だらしない,,CEROBOR; TIDAK RAPI; TIDAK DISIPLIN,部屋[へや]がだらしないです。,KAMAR SANGAT TIDAK RAPI。,だらしない生活[せいかつ]を直[なお]したいです。,SAYA INGIN MEMPERBAIKI KEHIDUPAN YANG TIDAK TERATUR。
1,偉[えら]い,,HEBAT; LUAR BIASA,毎日[まいにち]勉強[べんきょう]するのは偉[えら]いです。,BELAJAR SETIAP HARI ITU HEBAT。,一人[ひとり]で宿題[しゅくだい]をしたので、偉[えら]いですね。,"KARENA KAMU MENGERJAKAN PEKERJAAN RUMAH SENDIRI, KAMU HEBAT。"
2,深[ふか]い,,DALAM,この湖[みずうみ]は深[ふか]いです。,DANAU INI DALAM。,深[ふか]い眠[ねむ]りについています。,SEDANG TIDUR NYENYAK。
2,我慢[がまん]強[づよ]い,,SABAR; TABAH,彼[かれ]はとても我慢[がまん]強[づよ]い人[ひと]です。,DIA ADALAH ORANG YANG SANGAT SABAR。,我慢[がまん]強[づよ]く仕事[しごと]を続[つづ]けました。,SAYA MELANJUTKAN PEKERJAAN DENGAN SABAR。
2,激[はげ]しい,,HEBAT; SENGIT; KERAS,雨[あめ]が激[はげ]しく降[ふ]っています。,HUJAN TURUN DENGAN SANGAT DERAS。,二人[ふたり]は激[はげ]しく議論[ぎろん]しました。,KEDUA ORANG ITU BERDEBAT DENGAN SENGIT。
2,酷[ひど]い,,KEJAM; PARAH,今日[きょう]の雨[あめ]は酷[ひど]いです。,HUJAN HARI INI SANGAT PARAH。,それは酷[ひど]い話[はなし]です。,ITU ADALAH CERITA YANG KEJAM。
2,低[ひく]い,,RENDAH,この机[つくえ]は低[ひく]いです。,MEJA INI RENDAH。,彼[かれ]の声[こえ]は低[ひく]いです。,SUARANYA RENDAH。
2,等[ひと]しい,,SAMA; SETARA,二人[ふたり]の力[ちから]は等[ひと]しいです。,KEKUATAN MEREKA BERDUA SAMA。,全[すべ]ての人[ひと]は等[ひと]しく扱[あつか]われるべきです。,SEMUA ORANG SEHARUSNYA DIPERLAKUKAN SECARA SETARA。
2,勢[いきお]い,,KUAT; BERSEMANGAT,水[みず]が勢[いきお]いよく出[で]ています。,AIR KELUAR DENGAN DERAS。,勢[いきお]いよくドアを開[あ]けました。,SAYA MEMBUKA PINTU DENGAN KUAT。
2,勇[いさ]ましい,,BERANI; GAGAH,彼[かれ]は勇[いさ]ましい人[ひと]です。,DIA ADALAH ORANG YANG BERANI。,勇[いさ]ましい姿[すがた]に感動[かんどう]しました。,SAYA TERHARU MELIHAT SOSOK YANG GAGAH ITU。
2,痛[いた]い,,SAKIT,頭[あたま]が痛[いた]いです。,KEPALA SAYA SAKIT。,足[あし]が痛[いた]くて歩[ある]けません。,"KARENA KAKI SAYA SAKIT, SAYA TIDAK BISA BERJALAN。"
2,愛[いと]しい,,TERSAYANG; TERCINTA,私[わたし]にとって家族[かぞく]は愛[いと]しい存在[そんざい]です。,"BAGI SAYA, KELUARGA ADALAH KEBERADAAN YANG SANGAT TERSAYANG。",愛[いと]しい子供[こども]の写真[しゃしん]を見[み]ました。,SAYA MELIHAT FOTO ANAK YANG SANGAT SAYA SAYANGI。
2,かっこいい,,KEREN; GAGAH,あの車[くるま]はかっこいいです。,MOBIL ITU KEREN。,彼[かれ]は本当[ほんとう]にかっこいいですね。,DIA BENAR-BENAR KEREN。
2,かっこ悪[わる]い,,TIDAK KEREN; MEMALUKAN,人前[ひとまえ]で転[ころ]んで、かっこ悪[わる]かったです。,SAYA JATUH DI DEPAN ORANG BANYAK DAN ITU MEMALUKAN。,そんなかっこ悪[わる]いことはしたくありません。,SAYA TIDAK INGIN MELAKUKAN HAL YANG MEMALUKAN SEPERTI ITU。
2,辛[から]い,,PEDAS,このカレーは辛[から]いです。,KARI INI PEDAS。,辛[から]い食[た]べ物[もの]が好[す]きです。,SAYA MENYUKAI MAKANAN PEDAS。
2,軽[かる]い,,RINGAN,この箱[はこ]は軽[かる]いです。,KOTAK INI RINGAN。,軽[かる]い荷物[にもつ]を持[も]ちます。,SAYA MEMBAWA BARANG BAWAAN YANG RINGAN。
2,賢[かしこ]い,,PINTAR; BIJAK,あの子[こ]はとても賢[かしこ]いです。,ANAK ITU SANGAT PINTAR。,賢[かしこ]い選[えら]び方[かた]をしてください。,TOLONG BUAT PILIHAN YANG BIJAK。
2,硬[かた]い / 固[かた]い,,KERAS,このパンは硬[かた]いです。,ROTI INI KERAS。,この瓶[びん]のふたは固[かた]いです。,TUTUP BOTOL INI SANGAT KENCANG。
2,可愛[かわい]い,,LUCU; MENGGEMASKAN,この猫[ねこ]は可愛[かわい]いです。,KUCING INI LUCU。,可愛[かわい]い服[ふく]を買[か]いました。,SAYA MEMBELI PAKAIAN YANG LUCU。
2,可愛[かわい]らしい,,LUCU; MANIS; MENGGEMASKAN,可愛[かわい]らしい花[はな]ですね。,BUNGANYA LUCU DAN MANIS YA。,彼女[かのじょ]は可愛[かわい]らしい笑顔[えがお]をしています。,DIA MEMILIKI SENYUM YANG MANIS。
2,痒[かゆ]い,,GATAL,手[て]が痒[かゆ]いです。,TANGAN SAYA GATAL。,虫[むし]に刺[さ]されて、足[あし]が痒[かゆ]いです。,"KARENA DIGIGIT SERANGGA, KAKI SAYA GATAL。"
2,煙[けむ]い,,PENUH ASAP; BERASAP,この部屋[へや]は煙[けむ]いです。,KAMAR INI PENUH ASAP。,煙[けむ]くて目[め]が痛[いた]いです。,"KARENA BERASAP, MATA SAYA SAKIT。"
3,険[けわ]しい,,CURAM; TERJAL,この山[やま]は険[けわ]しいです。,GUNUNG INI TERJAL。,険[けわ]しい道[みち]を歩[ある]きました。,SAYA BERJALAN DI JALAN YANG TERJAL。
3,気[き]が小[ちい]さい,,PENAKUT; TIDAK PERCAYA DIRI,私[わたし]は少[すこ]し気[き]が小[ちい]さいです。,SAYA SEDIKIT PENAKUT。,気[き]が小[ちい]さいので、人前[ひとまえ]で話[はな]すのが苦手[にがて]です。,"KARENA SAYA KURANG PERCAYA DIRI, SAYA TIDAK PANDAI BERBICARA DI DEPAN ORANG BANYAK。"
3,気[き]が強[つよ]い,,BERKEMAUAN KUAT; TEGAS,彼女[かのじょ]は気[き]が強[つよ]いです。,DIA MEMILIKI KEPRIBADIAN YANG KUAT。,気[き]が強[つよ]い人[ひと]は自分[じぶん]の意見[いけん]をはっきり言[い]います。,ORANG YANG BERKARAKTER KUAT MENYATAKAN PENDAPATNYA DENGAN JELAS。
3,気[き]が弱[よわ]い,,PENAKUT; BERMENTAL LEMAH,彼[かれ]は気[き]が弱[よわ]いです。,DIA MUDAH GENTAR。,気[き]が弱[よわ]くて、断[ことわ]ることができません。,"KARENA SAYA TIDAK TEGAS, SAYA TIDAK BISA MENOLAK。"
3,黄[き]色[いろ]い,,BERWARNA KUNING,黄[き]色[いろ]い花[はな]が咲[さ]いています。,BUNGA KUNING SEDANG MEKAR。,黄[き]色[いろ]い車[くるま]を見[み]ました。,SAYA MELIHAT MOBIL BERWARNA KUNING。
3,気持[きも]ちいい,,NYAMAN; ENAK,今日[きょう]の風[かぜ]は気持[きも]ちいいです。,ANGIN HARI INI TERASA NYAMAN。,朝[あさ]に散歩[さんぽ]すると気持[きも]ちいいです。,BERJALAN-JALAN PADA PAGI HARI TERASA MENYENANGKAN。
3,気持[きも]ち悪[わる]い,,TIDAK ENAK; MENJIJIKKAN,この匂[にお]いは気持[きも]ち悪[わる]いです。,BAU INI MENJIJIKKAN。,食[た]べ過[す]ぎて気持[きも]ち悪[わる]いです。,"KARENA MAKAN TERLALU BANYAK, SAYA MERASA MUAL。"
3,きつい,,KETAT; BERAT; KERAS,この靴[くつ]は少[すこ]しきついです。,SEPATU INI SEDIKIT KESEMPITAN。,今日[きょう]の仕事[しごと]はきついです。,PEKERJAAN HARI INI BERAT。
3,濃[こ]い,,KENTAL; PEKAT,このコーヒーは濃[こ]いです。,KOPI INI PEKAT。,味[あじ]が濃[こ]い料理[りょうり]が好[す]きです。,SAYA MENYUKAI MASAKAN DENGAN RASA YANG KUAT。
3,恋[こい]しい,,RINDU,家族[かぞく]が恋[こい]しいです。,SAYA RINDU KELUARGA。,日本[にほん]の友達[ともだち]が恋[こい]しくなりました。,SAYA MENJADI RINDU KEPADA TEMAN DI JEPANG。
3,心細[こころぼそ]い,,MERASA TIDAK TENANG; MERASA KESEPIAN,一人[ひとり]なので心細[こころぼそ]いです。,"KARENA SENDIRIAN, SAYA MERASA TIDAK TENANG。",知[し]っている人[ひと]がいなくて、心細[こころぼそ]かったです。,"KARENA TIDAK ADA ORANG YANG SAYA KENAL, SAYA MERASA CEMAS DAN KESEPIAN。"
3,快[こころよ]い,,MENYENANGKAN; NYAMAN,快[こころよ]い風[かぜ]が吹[ふ]いています。,ANGIN YANG MENYENANGKAN SEDANG BERTIUP。,快[こころよ]く手伝[てつだ]ってくれました。,DIA DENGAN SENANG HATI MEMBANTU SAYA。
3,細[こま]かい,,KECIL; RINCI,細[こま]かい字[じ]が読[よ]めません。,SAYA TIDAK BISA MEMBACA TULISAN YANG KECIL。,細[こま]かい説明[せつめい]をしてください。,TOLONG BERIKAN PENJELASAN YANG RINCI。
3,怖[こわ]い,,MENAKUTKAN,この映画[えいが]は怖[こわ]いです。,FILM INI MENAKUTKAN。,犬[いぬ]が怖[こわ]いです。,SAYA TAKUT ANJING。
3,下[くだ]らない,,TIDAK BERGUNA; SEPELE,下[くだ]らないことで怒[おこ]らないでください。,JANGAN MARAH KARENA HAL SEPELE。,そんな下[くだ]らない話[はなし]はやめましょう。,MARI BERHENTI MEMBICARAKAN HAL SEPELE SEPERTI ITU。
3,諄[くど]い,,BERTELE-TELE; TERLALU BERULANG,同[おな]じ話[はなし]を何度[なんど]もすると諄[くど]いです。,"JIKA TERUS MENGULANG CERITA YANG SAMA, ITU MENJADI MEMBOSANKAN。",彼[かれ]の説明[せつめい]は少[すこ]し諄[くど]いです。,PENJELASANNYA SEDIKIT BERTELE-TELE。
3,暗[くら]い,,GELAP; SURAM,この部屋[へや]は暗[くら]いです。,KAMAR INI GELAP。,夜[よる]になると道[みち]が暗[くら]くなります。,"KETIKA MALAM TIBA, JALAN MENJADI GELAP。"
3,臭[くさ]い,,BAU,この靴下[くつした]は臭[くさ]いです。,KAUS KAKI INI BAU。,ごみが臭[くさ]いので、外[そと]に出[だ]しました。,"KARENA SAMPAH BERBAU, SAYA MEMBAWANYA KELUAR。"
3,詳[くわ]しい,,RINCI; MENGETAHUI DENGAN BAIK,詳[くわ]しい説明[せつめい]を聞[き]きました。,SAYA MENDENGAR PENJELASAN YANG RINCI。,彼[かれ]は日本[にほん]の歴史[れきし]に詳[くわ]しいです。,DIA SANGAT MENGETAHUI SEJARAH JEPANG。
3,眩[まぶ]しい,,SILAU,太陽[たいよう]の光[ひかり]が眩[まぶ]しいです。,CAHAYA MATAHARI SANGAT SILAU。,外[そと]が眩[まぶ]しくて目[め]を開[あ]けられません。,DI LUAR SANGAT SILAU SEHINGGA SAYA TIDAK BISA MEMBUKA MATA。
4,丸[まる]い,,BULAT,このテーブルは丸[まる]いです。,MEJA INI BULAT。,丸[まる]い石[いし]を見[み]つけました。,SAYA MENEMUKAN BATU BULAT。
4,まずい,,TIDAK ENAK; BURUK,この料理[りょうり]はまずいです。,MASAKAN INI TIDAK ENAK。,今[いま]はまずい状況[じょうきょう]です。,SEKARANG SITUASINYA BURUK。
4,貧[まず]しい,,MISKIN,貧[まず]しい家庭[かてい]で育[そだ]ちました。,SAYA TUMBUH DI KELUARGA YANG MISKIN。,貧[まず]しい生活[せいかつ]をしている人[ひと]を助[たす]けたいです。,SAYA INGIN MEMBANTU ORANG YANG HIDUP DALAM KEMISKINAN。
4,めでたい,,MENGGEMBIRAKAN; PENUH KEBERUNTUNGAN,今日はめでたい日[ひ]です。,HARI INI ADALAH HARI YANG MENGGEMBIRAKAN。,結婚[けっこん]はめでたい出来事[できごと]です。,PERNIKAHAN ADALAH PERISTIWA YANG MENGGEMBIRAKAN。
4,見[み]っともない,,MEMALUKAN; TIDAK PANTAS,人前[ひとまえ]でそんな見[み]っともないことをしないでください。,JANGAN MELAKUKAN HAL YANG MEMALUKAN SEPERTI ITU DI DEPAN ORANG BANYAK。,見[み]っともない服装[ふくそう]だと思[おも]われたくありません。,SAYA TIDAK INGIN DIANGGAP MEMILIKI PENAMPILAN YANG MEMALUKAN。
4,ものすごい,,LUAR BIASA; SANGAT HEBAT,今日[きょう]はものすごく暑[あつ]いです。,HARI INI SANGAT PANAS。,ものすごい速[はや]さで走[はし]っています。,DIA BERLARI DENGAN KECEPATAN YANG LUAR BIASA。
4,もったいない,,SAYANG; SIA-SIA,食[た]べ物[もの]を捨[す]てるのはもったいないです。,MEMBUANG MAKANAN ADALAH TINDAKAN YANG SIA-SIA。,まだ使[つか]えるのに、もったいないです。,"PADAHAL MASIH BISA DIGUNAKAN, SAYANG SEKALI。"
4,蒸[む]し暑[あつ]い,,PANAS DAN LEMBAB,今日[きょう]は蒸[む]し暑[あつ]いです。,HARI INI PANAS DAN LEMBAB。,夏[なつ]の夜[よる]は蒸[む]し暑[あつ]いです。,MALAM MUSIM PANAS PANAS DAN LEMBAB。
4,何気[なにげ]ない,,TIDAK DISENGAJA; BIASA SAJA,彼[かれ]の何気[なにげ]ない言葉[ことば]に傷[きず]つきました。,SAYA TERLUKA OLEH UCAPANNYA YANG TIDAK DISENGAJA。,何気[なにげ]ない毎日[まいにち]が幸[しあわ]せです。,HARI-HARI YANG BIASA SAJA ADALAH KEBAHAGIAAN。
