day,kanji,onyomi,kunyomi,arti,contoh1,arti_contoh1,contoh2,arti_contoh2,contoh3,arti_contoh3
1,水,スイ,みず,air,水を飲む,minum air,水泳,berenang,水曜日,hari Rabu
1,火,カ,ひ,api,火を消す,mematikan api,火事,kebakaran,火曜日,hari Selasa
1,木,ボク・モク,き,pohon / kayu,木を植える,menanam pohon,木曜日,hari Kamis,木製,terbuat dari kayu
1,金,キン,かね,emas / uang,お金がない,tidak punya uang,金曜日,hari Jumat,金魚,ikan mas
1,土,ド・ト,つち,tanah,土を掘る,menggali tanah,土曜日,hari Sabtu,土地,lahan/tanah
2,日,ニチ・ジツ,ひ,hari / matahari,日曜日,hari Minggu,毎日,setiap hari,日本,Jepang
2,月,ゲツ・ガツ,つき,bulan,月曜日,hari Senin,今月,bulan ini,月見,melihat bulan
2,人,ジン・ニン,ひと,orang,日本人,orang Jepang,大人,orang dewasa,人気,populer
2,山,サン,やま,gunung,富士山,Gunung Fuji,山登り,mendaki gunung,火山,gunung berapi
2,川,セン,かわ,sungai,川で泳ぐ,berenang di sungai,小川,sungai kecil,河川,sungai (formal)
